vin	V(be)	Ib(Q1)	Ic(Q1)	Ic(Q1)/Ib(Q1)
1.399999999999992e+000	7.268412e-001	3.059813e-003	2.179330e-004	7.122430e-002
1.404999999999992e+000	7.270639e-001	3.081528e-003	2.179324e-004	7.072220e-002
1.409999999999992e+000	7.272854e-001	3.103248e-003	2.179318e-004	7.022700e-002
1.414999999999992e+000	7.275056e-001	3.124975e-003	2.179312e-004	6.973854e-002
1.419999999999992e+000	7.277246e-001	3.146706e-003	2.179306e-004	6.925672e-002
1.424999999999992e+000	7.279424e-001	3.168444e-003	2.179299e-004	6.878139e-002
1.429999999999992e+000	7.281590e-001	3.190186e-003	2.179293e-004	6.831242e-002
1.434999999999991e+000	7.283745e-001	3.211934e-003	2.179287e-004	6.784968e-002
1.439999999999991e+000	7.285888e-001	3.233687e-003	2.179281e-004	6.739306e-002
1.444999999999991e+000	7.288019e-001	3.255446e-003	2.179275e-004	6.694244e-002
1.449999999999991e+000	7.290139e-001	3.277209e-003	2.179268e-004	6.649769e-002
1.454999999999991e+000	7.292249e-001	3.298978e-003	2.179262e-004	6.605871e-002
1.459999999999991e+000	7.294347e-001	3.320751e-003	2.179256e-004	6.562539e-002
1.464999999999991e+000	7.296434e-001	3.342530e-003	2.179250e-004	6.519762e-002
1.469999999999991e+000	7.298510e-001	3.364313e-003	2.179244e-004	6.477529e-002
1.474999999999991e+000	7.300576e-001	3.386102e-003	2.179237e-004	6.435830e-002
1.479999999999990e+000	7.302632e-001	3.407895e-003	2.179231e-004	6.394655e-002
1.484999999999990e+000	7.304677e-001	3.429692e-003	2.179225e-004	6.353995e-002
1.489999999999990e+000	7.306712e-001	3.451495e-003	2.179219e-004	6.313840e-002
1.494999999999990e+000	7.308736e-001	3.473302e-003	2.179212e-004	6.274181e-002
1.499999999999990e+000	7.310751e-001	3.495113e-003	2.179206e-004	6.235008e-002
1.504999999999990e+000	7.312756e-001	3.516929e-003	2.179200e-004	6.196314e-002
1.509999999999990e+000	7.314751e-001	3.538749e-003	2.179194e-004	6.158089e-002
1.514999999999990e+000	7.316737e-001	3.560574e-003	2.179187e-004	6.120325e-002
1.519999999999990e+000	7.318712e-001	3.582403e-003	2.179181e-004	6.083014e-002
1.524999999999990e+000	7.320679e-001	3.604237e-003	2.179175e-004	6.046148e-002
1.529999999999989e+000	7.322636e-001	3.626074e-003	2.179169e-004	6.009718e-002
1.534999999999989e+000	7.324584e-001	3.647916e-003	2.179162e-004	5.973718e-002
1.539999999999989e+000	7.326523e-001	3.669762e-003	2.179156e-004	5.938140e-002
1.544999999999989e+000	7.328453e-001	3.691612e-003	2.179150e-004	5.902975e-002
1.549999999999989e+000	7.330374e-001	3.713466e-003	2.179143e-004	5.868219e-002
1.554999999999989e+000	7.332286e-001	3.735324e-003	2.179137e-004	5.833863e-002
