vin	V(be)	Ic(Q1)
1.599999999999988e+000	7.349115e-001	2.179080e-004
1.604999999999988e+000	7.350944e-001	2.179074e-004
1.609999999999988e+000	7.352766e-001	2.179068e-004
1.614999999999988e+000	7.354580e-001	2.179062e-004
1.619999999999988e+000	7.356386e-001	2.179055e-004
1.624999999999987e+000	7.358184e-001	2.179049e-004
1.629999999999987e+000	7.359975e-001	2.179042e-004
1.634999999999987e+000	7.361758e-001	2.179036e-004
1.639999999999987e+000	7.363535e-001	2.179030e-004
1.644999999999987e+000	7.365303e-001	2.179024e-004
1.649999999999987e+000	7.367065e-001	2.179017e-004
1.654999999999987e+000	7.368819e-001	2.179011e-004
1.659999999999987e+000	7.370567e-001	2.179005e-004
1.664999999999987e+000	7.372307e-001	2.178998e-004
1.669999999999986e+000	7.374040e-001	2.178992e-004
1.674999999999986e+000	7.375767e-001	2.178986e-004
1.679999999999986e+000	7.377487e-001	2.178979e-004
1.684999999999986e+000	7.379200e-001	2.178973e-004
1.689999999999986e+000	7.380907e-001	2.178967e-004
1.694999999999986e+000	7.382606e-001	2.178960e-004
1.699999999999986e+000	7.384300e-001	2.178954e-004
1.704999999999986e+000	7.385987e-001	2.178948e-004
1.709999999999986e+000	7.387667e-001	2.178942e-004
1.714999999999985e+000	7.389342e-001	2.178935e-004
1.719999999999985e+000	7.391009e-001	2.178929e-004
1.724999999999985e+000	7.392671e-001	2.178922e-004
1.729999999999985e+000	7.394326e-001	2.178916e-004
1.734999999999985e+000	7.395976e-001	2.178910e-004
1.739999999999985e+000	7.397619e-001	2.178904e-004
1.744999999999985e+000	7.399256e-001	2.178897e-004
1.749999999999985e+000	7.400887e-001	2.178891e-004
1.754999999999985e+000	7.402512e-001	2.178885e-004
1.759999999999985e+000	7.404132e-001	2.178878e-004
1.764999999999984e+000	7.405746e-001	2.178872e-004
1.769999999999984e+000	7.407354e-001	2.178866e-004
1.774999999999984e+000	7.408956e-001	2.178859e-004
1.779999999999984e+000	7.410553e-001	2.178853e-004
1.784999999999984e+000	7.412144e-001	2.178847e-004
1.789999999999984e+000	7.413730e-001	2.178840e-004
1.794999999999984e+000	7.415310e-001	2.178834e-004
1.799999999999984e+000	7.416884e-001	2.178828e-004
1.804999999999984e+000	7.418454e-001	2.178821e-004
1.809999999999983e+000	7.420018e-001	2.178815e-004
1.814999999999983e+000	7.421576e-001	2.178809e-004
1.819999999999983e+000	7.423130e-001	2.178802e-004
1.824999999999983e+000	7.424678e-001	2.178796e-004
1.829999999999983e+000	7.426221e-001	2.178790e-004
1.834999999999983e+000	7.427759e-001	2.178783e-004
1.839999999999983e+000	7.429292e-001	2.178777e-004
1.844999999999983e+000	7.430819e-001	2.178771e-004
1.849999999999983e+000	7.432342e-001	2.178764e-004
1.854999999999982e+000	7.433860e-001	2.178758e-004
1.859999999999982e+000	7.435373e-001	2.178752e-004
1.864999999999982e+000	7.436881e-001	2.178745e-004
1.869999999999982e+000	7.438384e-001	2.178739e-004
1.874999999999982e+000	7.439882e-001	2.178733e-004
1.879999999999982e+000	7.441376e-001	2.178727e-004
1.884999999999982e+000	7.442865e-001	2.178720e-004
1.889999999999982e+000	7.444350e-001	2.178714e-004
1.894999999999982e+000	7.445829e-001	2.178708e-004
1.899999999999982e+000	7.447304e-001	2.178701e-004
1.904999999999981e+000	7.448775e-001	2.178695e-004
1.909999999999981e+000	7.450240e-001	2.178689e-004
1.914999999999981e+000	7.451702e-001	2.178682e-004
1.919999999999981e+000	7.453159e-001	2.178676e-004
1.924999999999981e+000	7.454612e-001	2.178670e-004
1.929999999999981e+000	7.456060e-001	2.178663e-004
1.934999999999981e+000	7.457504e-001	2.178657e-004
1.939999999999981e+000	7.458943e-001	2.178651e-004
1.944999999999981e+000	7.460378e-001	2.178644e-004
1.949999999999980e+000	7.461810e-001	2.178638e-004
1.954999999999980e+000	7.463236e-001	2.178632e-004
1.959999999999980e+000	7.464659e-001	2.178626e-004
1.964999999999980e+000	7.466077e-001	2.178619e-004
1.969999999999980e+000	7.467492e-001	2.178613e-004
1.974999999999980e+000	7.468902e-001	2.178607e-004
1.979999999999980e+000	7.470309e-001	2.178600e-004
1.984999999999980e+000	7.471710e-001	2.178594e-004
1.989999999999980e+000	7.473109e-001	2.178588e-004
1.994999999999980e+000	7.474503e-001	2.178581e-004
1.999999999999979e+000	7.475893e-001	2.178575e-004
2.004999999999980e+000	7.477279e-001	2.178569e-004
2.009999999999979e+000	7.478662e-001	2.178563e-004
2.014999999999979e+000	7.480041e-001	2.178556e-004
2.019999999999979e+000	7.481415e-001	2.178550e-004
2.024999999999979e+000	7.482787e-001	2.178544e-004
2.029999999999979e+000	7.484154e-001	2.178537e-004
2.034999999999979e+000	7.485517e-001	2.178531e-004
2.039999999999979e+000	7.486877e-001	2.178525e-004
2.044999999999979e+000	7.488233e-001	2.178518e-004
2.049999999999979e+000	7.489586e-001	2.178512e-004
2.054999999999978e+000	7.490935e-001	2.178506e-004
2.059999999999978e+000	7.492279e-001	2.178500e-004
2.064999999999978e+000	7.493621e-001	2.178493e-004
2.069999999999978e+000	7.494959e-001	2.178487e-004
2.074999999999978e+000	7.496294e-001	2.178481e-004
2.079999999999978e+000	7.497625e-001	2.178475e-004
2.084999999999978e+000	7.498953e-001	2.178468e-004
2.089999999999978e+000	7.500277e-001	2.178462e-004
2.094999999999978e+000	7.501597e-001	2.178456e-004
2.099999999999977e+000	7.502915e-001	2.178449e-004
2.104999999999977e+000	7.504228e-001	2.178443e-004
