time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
2.842961646073934e-004	6.217754e-001	8.353142e-002	6.103361e-006	4.916454e-004	-4.977487e-004
2.942961646073934e-004	6.215827e-001	8.684169e-002	5.584950e-006	4.913135e-004	-4.968984e-004
3.042961646073934e-004	6.213408e-001	9.166348e-002	4.946004e-006	4.908291e-004	-4.957751e-004
3.142961646073935e-004	6.210486e-001	9.893479e-002	4.197156e-006	4.901016e-004	-4.942988e-004
3.242961646073935e-004	6.207032e-001	1.109187e-001	3.360711e-006	4.889059e-004	-4.922666e-004
3.342961646073935e-004	6.202909e-001	1.352998e-001	2.508144e-006	4.864694e-004	-4.889775e-004
3.442961646073935e-004	6.197764e-001	1.883031e-001	1.829971e-006	4.811692e-004	-4.829992e-004
3.517038047722432e-004	6.192966e-001	2.575208e-001	1.604535e-006	4.742476e-004	-4.758521e-004
3.550636887528094e-004	6.190461e-001	2.982295e-001	1.589687e-006	4.701768e-004	-4.717665e-004
3.632812893380853e-004	6.183980e-001	4.043010e-001	1.563801e-006	4.595689e-004	-4.611328e-004
3.763917838468503e-004	6.172833e-001	5.815291e-001	1.505478e-006	4.418434e-004	-4.433488e-004
3.958956297473933e-004	6.154494e-001	8.588749e-001	1.406373e-006	4.141083e-004	-4.155146e-004
4.458956297473934e-004	6.100106e-001	1.590785e+000	1.144206e-006	3.409200e-004	-3.420642e-004
4.758956297473935e-004	6.063951e-001	2.008476e+000	9.973551e-007	2.991515e-004	-3.001489e-004
5.058956297473936e-004	6.026695e-001	2.388098e+000	8.661384e-007	2.611896e-004	-2.620557e-004
5.358956297473937e-004	5.989661e-001	2.719787e+000	7.533257e-007	2.280210e-004	-2.287743e-004
5.558956297473937e-004	5.965747e-001	2.912139e+000	6.887496e-007	2.087860e-004	-2.094747e-004
5.758956297473938e-004	5.942900e-001	3.081301e+000	6.325217e-007	1.918699e-004	-1.925024e-004
