vin	V(gs)	Id(M1)
-2.439249999999962e+000	-2.439250e+000	2.274789e-011
-2.439099999999962e+000	-2.439100e+000	2.275935e-011
-2.438949999999962e+000	-2.438950e+000	2.277085e-011
-2.438799999999961e+000	-2.438800e+000	2.278249e-011
-2.438649999999961e+000	-2.438650e+000	2.279408e-011
-2.438499999999961e+000	-2.438500e+000	2.280580e-011
-2.438349999999961e+000	-2.438350e+000	2.281753e-011
-2.438199999999961e+000	-2.438200e+000	2.282934e-011
-2.438049999999961e+000	-2.438050e+000	2.284115e-011
-2.437899999999961e+000	-2.437900e+000	2.285305e-011
-2.437749999999961e+000	-2.437750e+000	2.286491e-011
-2.437599999999961e+000	-2.437600e+000	2.287695e-011
-2.437449999999961e+000	-2.437450e+000	2.288898e-011
-2.437299999999961e+000	-2.437300e+000	2.290106e-011
-2.437149999999960e+000	-2.437150e+000	2.291318e-011
-2.436999999999960e+000	-2.437000e+000	2.292535e-011
-2.436849999999960e+000	-2.436850e+000	2.293761e-011
-2.436699999999960e+000	-2.436700e+000	2.294991e-011
-2.436549999999960e+000	-2.436550e+000	2.296221e-011
-2.436399999999960e+000	-2.436400e+000	2.297460e-011
-2.436249999999960e+000	-2.436250e+000	2.298708e-011
-2.436099999999960e+000	-2.436100e+000	2.299951e-011
-2.435949999999960e+000	-2.435950e+000	2.301208e-011
-2.435799999999960e+000	-2.435800e+000	2.302469e-011
-2.435649999999960e+000	-2.435650e+000	2.303730e-011
-2.435499999999959e+000	-2.435500e+000	2.305005e-011
-2.435349999999959e+000	-2.435350e+000	2.306284e-011
-2.435199999999959e+000	-2.435200e+000	2.307559e-011
-2.435049999999959e+000	-2.435050e+000	2.308847e-011
-2.434899999999959e+000	-2.434900e+000	2.310143e-011
-2.434749999999959e+000	-2.434750e+000	2.311440e-011
-2.434599999999959e+000	-2.434600e+000	2.312745e-011
-2.434449999999959e+000	-2.434450e+000	2.314047e-011
-2.434299999999959e+000	-2.434300e+000	2.315366e-011
-2.434149999999959e+000	-2.434150e+000	2.316685e-011
-2.433999999999958e+000	-2.434000e+000	2.318008e-011
-2.433849999999958e+000	-2.433850e+000	2.319336e-011
-2.433699999999958e+000	-2.433700e+000	2.320677e-011
-2.433549999999958e+000	-2.433550e+000	2.322014e-011
-2.433399999999958e+000	-2.433400e+000	2.323364e-011
-2.433249999999958e+000	-2.433250e+000	2.324718e-011
-2.433099999999958e+000	-2.433100e+000	2.326073e-011
-2.432949999999958e+000	-2.432950e+000	2.327440e-011
-2.432799999999958e+000	-2.432800e+000	2.328808e-011
-2.432649999999958e+000	-2.432650e+000	2.330185e-011
-2.432499999999958e+000	-2.432500e+000	2.331566e-011
-2.432349999999957e+000	-2.432350e+000	2.332956e-011
-2.432199999999957e+000	-2.432200e+000	2.334346e-011
-2.432049999999957e+000	-2.432050e+000	2.335749e-011
-2.431899999999957e+000	-2.431900e+000	2.337153e-011
